function,dim,sigma0_factor,metric,n_pairs,median_baseline,median_ri,statistic,pvalue
sphere,2,0.1,evals_to_1e-08,31,246.0,258.0,196.5,0.6485178596458369
sphere,2,0.5,evals_to_1e-08,31,252.0,246.0,132.0,0.8546237368918868
sphere,2,1.0,evals_to_1e-08,31,252.0,252.0,169.5,0.6388789047930149
sphere,2,2.0,evals_to_1e-08,31,258.0,270.0,210.5,0.8791948522100091
sphere,10,0.1,evals_to_1e-08,31,1500.0,1500.0,228.0,0.9261440100321889
sphere,10,0.5,evals_to_1e-08,31,1460.0,1480.0,177.5,0.5605330296364814
sphere,10,1.0,evals_to_1e-08,31,1530.0,1550.0,185.5,0.6901093249046251
sphere,10,2.0,evals_to_1e-08,31,1570.0,1640.0,112.5,0.01348547675613278
sphere,30,0.1,evals_to_1e-08,31,4200.0,4130.0,131.0,0.02176475152744027
sphere,30,0.5,evals_to_1e-08,31,4116.0,4130.0,164.5,0.5558360374929662
sphere,30,1.0,evals_to_1e-08,31,4270.0,4298.0,212.5,0.4861386368747943
sphere,30,2.0,evals_to_1e-08,31,4410.0,4522.0,116.0,0.016519735031619714
rosenbrock,2,0.1,evals_to_1e-08,31,474.0,486.0,176.0,0.24504051227377277
rosenbrock,2,0.5,evals_to_1e-08,31,462.0,462.0,158.0,0.12521835073667725
rosenbrock,2,1.0,evals_to_1e-08,31,486.0,462.0,181.5,0.4359770256215878
rosenbrock,2,2.0,evals_to_1e-08,31,534.0,480.0,125.5,0.04650404036143038
rosenbrock,10,0.1,evals_to_1e-08,24,5185.0,5305.0,113.0,0.290421781275362
rosenbrock,10,0.5,evals_to_1e-08,25,5060.0,5170.0,158.5,0.9142756079044435
rosenbrock,10,1.0,evals_to_1e-08,26,5270.0,5590.0,82.0,0.017558146394630793
rosenbrock,10,2.0,evals_to_1e-08,28,5510.0,5280.0,150.0,0.34871926933778796
rosenbrock,30,0.1,evals_to_1e-08,21,35266.0,35308.0,99.5,0.5780984770602058
rosenbrock,30,0.5,evals_to_1e-08,29,35294.0,35392.0,183.0,0.46793800592422485
rosenbrock,30,1.0,evals_to_1e-08,27,35854.0,36162.0,138.0,0.22043834462131773
rosenbrock,30,2.0,evals_to_1e-08,25,35686.0,36568.0,87.5,0.0435703286309314
rastrigin,2,0.1,evals_to_1e-08,0,,,,
rastrigin,2,0.5,evals_to_1e-08,0,,,,
rastrigin,2,1.0,evals_to_1e-08,2,345.0,372.0,,
rastrigin,2,2.0,evals_to_1e-08,1,540.0,366.0,,
rastrigin,10,0.1,evals_to_1e-08,0,,,,
rastrigin,10,0.5,evals_to_1e-08,0,,,,
rastrigin,10,1.0,evals_to_1e-08,0,,,,
rastrigin,10,2.0,evals_to_1e-08,0,,,,
rastrigin,30,0.1,evals_to_1e-08,0,,,,
rastrigin,30,0.5,evals_to_1e-08,0,,,,
rastrigin,30,1.0,evals_to_1e-08,0,,,,
rastrigin,30,2.0,evals_to_1e-08,0,,,,
ackley,2,0.1,evals_to_1e-08,24,576.0,576.0,137.0,0.7099082191651336
ackley,2,0.5,evals_to_1e-08,27,564.0,558.0,108.0,0.1419355357429333
ackley,2,1.0,evals_to_1e-08,24,579.0,579.0,107.0,0.7674871871175801
ackley,2,2.0,evals_to_1e-08,13,576.0,594.0,23.0,0.123291015625
ackley,10,0.1,evals_to_1e-08,29,3130.0,3110.0,163.5,0.368261987557446
ackley,10,0.5,evals_to_1e-08,27,3040.0,2980.0,174.0,0.7184305412492256
ackley,10,1.0,evals_to_1e-08,2,3115.0,3190.0,,
ackley,10,2.0,evals_to_1e-08,0,,,,
ackley,30,0.1,evals_to_1e-08,31,8260.0,8288.0,241.0,0.8908527701355147
ackley,30,0.5,evals_to_1e-08,30,8064.0,8071.0,165.0,0.38668168338653297
ackley,30,1.0,evals_to_1e-08,0,,,,
ackley,30,2.0,evals_to_1e-08,0,,,,
griewank,2,0.1,evals_to_1e-08,0,,,,
griewank,2,0.5,evals_to_1e-08,0,,,,
griewank,2,1.0,evals_to_1e-08,0,,,,
griewank,2,2.0,evals_to_1e-08,0,,,,
griewank,10,0.1,evals_to_1e-08,4,2120.0,2160.0,,
griewank,10,0.5,evals_to_1e-08,6,2190.0,2185.0,9.0,0.84375
griewank,10,1.0,evals_to_1e-08,2,2255.0,2220.0,,
griewank,10,2.0,evals_to_1e-08,2,2290.0,2340.0,,
griewank,30,0.1,evals_to_1e-08,26,6153.0,6174.0,159.0,0.9249165680013187
griewank,30,0.5,evals_to_1e-08,15,6146.0,6174.0,36.0,0.17267511033558602
griewank,30,1.0,evals_to_1e-08,19,6244.0,6258.0,64.0,0.3488733135719644
griewank,30,2.0,evals_to_1e-08,19,6328.0,6538.0,44.5,0.07399830862572153
